,Officer Name,Rank,Command,Shield,Appointed Date,Total Arrests,Department Recognitions
27679,"TATTEGRAIN, NOE E",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,15258,1/8/2014,51,0
27680,"TATUM, DERRICK M",DETECTIVE 3RD GRADE,PUBLIC SECURITY SECTION,6089,6/30/1995,38,1
27681,"TATZEL, DREW A",POLICE OFFICER,113 PRECINCT,28594,1/3/2019,81,0
27682,"TAUB, ANDREW J",POLICE OFFICER,114 PRECINCT,10668,1/9/2012,106,2
27683,"TAUBER, NATHANIEL M",DETECTIVE 2ND GRADE,INTEL CIS FIO PROGRAM,1581,9/29/2000,372,15
27684,"TAUNTON, JOSEPH L",POLICE OFFICER,006 PRECINCT,2629,1/6/2016,46,4
27685,"TAVALARO, VINCENT J",INSPECTOR,103 PRECINCT,,1/10/2005,164,11
27686,"TAVARES, FRANCISCO A",POLICE OFFICER,079 PRECINCT,31829,7/22/2002,385,12
27687,"TAVARES, FREDDY B",POLICE OFFICER,026 PRECINCT,28523,1/23/2007,115,0
27688,"TAVARES, GEORGE J",SERGEANT,ARSON & EXPLOSION,5354,7/1/2002,553,41
27689,"TAVARES, JOSE R",SERGEANT,HOUSING PSA 1,5455,1/9/2012,242,7
27690,"TAVARES, RICK",POLICE OFFICER,TB MANHATTAN TF TIMES SQ INITIATIVE,19237,10/11/2016,15,0
27691,"TAVARESPOLANCO, ALINSON D",POLICE OFFICER,041 PRECINCT,9489,10/12/2021,0,0
27692,"TAVAREZ, DAVID J",SGT DET SQUAD,INTELLIGENCE BUREAU,5032,4/30/1991,73,4
27693,"TAVAREZ, JESUS",DETECTIVE SPECIALIST,EMER SERV SQ 08,5486,1/7/2008,356,1
27694,"TAVAREZ, JORGE O",LIEUTENANT,TIMES SQUARE UNIT,,7/1/2002,44,3
27695,"TAVAREZ, JOSE L",POLICE OFFICER,032 PRECINCT,2044,7/6/2010,292,3
27696,"TAVAREZ, LUZ M",POLICE OFFICER,TRANSIT DISTRICT 2,6962,4/15/2019,15,0
27697,"TAVAREZ, MARLEEN N",POLICE OFFICER,PATROL BORO MAN NORTH,16419,1/7/2015,13,0
27698,"TAVAREZ, RAUL A",POLICE OFFICER,RTS RECRUITS,26059,12/29/2021,0,0
27699,"TAVAREZ, ROGER D",POLICE OFFICER,DET BORO MANHATTAN SOUTH,2301,7/8/2008,86,1
27700,"TAVAREZ, RONALD",POLICE OFFICER,HOUSING PSA 4,20041,7/8/2015,31,0
27701,"TAVAREZ, RUBEN A",POLICE OFFICER,TB ANTI TERRORISM UNIT,20968,1/9/2012,175,4
27702,"TAVAREZ, TAYLOR K",POLICE OFFICER,067 PRECINCT,14410,7/2/2018,73,0
27703,"TAVAREZ, VICTOR M",SERGEANT,ATU LATE TOUR PATROL TD 1,5460,7/11/2012,131,0
27704,"TAVERA, ELIZABETH",DETECTIVE 3RD GRADE,030 DET SQUAD,3610,7/6/2010,178,3
27705,"TAVERANUNEZ, ARISLEYDA A",POLICE OFFICER,014 PCT-MIDTOWN SO. PCT,616,10/12/2021,0,0
27706,"TAVERAS, ALEXANDER",DETECTIVE 3RD GRADE,NARC BORO QUEENS SOUTH,4809,1/14/2009,417,5
27707,"TAVERAS, ANDRE M",POLICE OFFICER,104 PRECINCT,9048,7/11/2005,158,3
27708,"TAVERAS, ANGEL E",LIEUTENANT,034 PRECINCT,,7/1/2002,399,2
27709,"TAVERAS, ANGELIQUE A",SERGEANT,QN EVIDENCE COLLECTION TEAM,2851,7/10/2006,76,1
27710,"TAVERAS, BRANDON",POLICE OFFICER,108 PRECINCT,2961,10/12/2021,0,0
27711,"TAVERAS, CHRISTIAN T",POLICE OFFICER,108 PRECINCT,10827,1/6/2016,104,6
27712,"TAVERAS, CHRISTOPHER",POLICE OFFICER,034 PRECINCT,14415,7/2/2018,33,0
27713,"TAVERAS, EDISON D",POLICE OFFICER,040 PRECINCT,23952,10/11/2016,13,0
27714,"TAVERAS, FELICIA",POLICE OFFICER,PSA 5 VIPER 12,18797,10/7/2015,7,0
27715,"TAVERAS, FRANKLIN P",POLICE OFFICER,103 PRECINCT,10653,10/24/2018,31,0
27716,"TAVERAS, HECTOR E",POLICE OFFICER,HOUSING PSA 8,2584,7/9/2013,51,0
27717,"TAVERAS, IDANIEL",POLICE OFFICER,040 PRECINCT,25670,1/3/2019,87,1
27718,"TAVERAS, JHAN C",POLICE OFFICER,HOUSING PSA 5,7219,1/6/2020,39,0
27719,"TAVERAS, JONATHAN R",SERGEANT,INTEL CIS FIO PROGRAM,5450,7/11/2012,273,51
27720,"TAVERAS, JOSE G",DETECTIVE 3RD GRADE,NARC BORO MANHATTAN SOUTH,3754,1/14/2009,406,4
27721,"TAVERAS, JOSE J",CAPTAIN,032 PRECINCT,,1/10/2007,62,0
27722,"TAVERAS, JOSE L",POLICE OFFICER,TRANSIT DISTRICT 20,29587,1/10/2018,8,0
27723,"TAVERAS, KATHERINE",LIEUTENANT,PATROL BORO MAN NORTH,,7/1/2002,50,20
27724,"TAVERAS, LOUILLY J",POLICE OFFICER,079 PRECINCT,24094,1/10/2018,16,0
27725,"TAVERAS, MARLENE",POLICE OFFICER,103 PRECINCT,7665,10/18/2017,39,1
27726,"TAVERAS, MICHAEL",POLICE OFFICER,112 PRECINCT,28263,8/30/1993,263,14
27727,"TAVERAS, NATALIA A",SERGEANT,HOUSING PSA 7,2008,1/9/2013,131,3
27728,"TAVERAS, PABLO A",SERGEANT,032 PRECINCT,2575,1/10/2007,432,3
27729,"TAVERAS, ROBIN",LIEUTENANT,030 PRECINCT,,1/9/2006,115,0
27730,"TAVERAS, SENIA M",POLICE OFFICER,034 PRECINCT,12120,7/1/2002,122,2
27731,"TAVERAS, VIVIANA",POLICE OFFICER,076 PRECINCT,7364,7/6/2010,80,1
27732,"TAVERAS, YADIRIS A",POLICE OFFICER,MEDICAL DIVISION,28000,7/11/2012,152,0
27733,"TAVERASPENA, JASON",POLICE OFFICER,RTS RECRUITS,26525,12/29/2021,0,0
27734,"TAVERNA, CARMINE T",POLICE OFFICER,STRATEGIC TECHNOLOGY DIVISION,21057,1/10/2007,296,26
27735,"TAVERNA, GARRETT L",POLICE OFFICER,025 PRECINCT,18528,7/8/2015,47,0
27736,"TAVERNA, JOHN R",POLICE OFFICER,014 PCT-MIDTOWN SO. PCT,1171,6/30/1992,49,0
27737,"TAVERNA, THOMAS J",DETECTIVE 3RD GRADE,OPERATIONS & ANALYSIS SECTION,3956,7/9/2013,376,62
27738,"TAVERNIER, CONRAD S",POLICE OFFICER,HEADQUARTERS SECURITY UNIT,3137,1/9/2006,101,0
27739,"TAVOLARIO, MICHAEL A",POLICE OFFICER,075 PRECINCT,29172,7/1/2002,210,2
27740,"TAWIL, ASSAD A",POLICE OFFICER,042 PRECINCT,12707,1/6/2016,44,0
27741,"TAWIL, FADI J",POLICE OFFICER,120 PRECINCT,20917,7/11/2005,89,2
27742,"TAYBRON, BRANDON D",LIEUTENANT,006 PRECINCT,,1/11/2010,185,3
27743,"TAYLOR, ANDREW R",POLICE OFFICER,HB MANHATTAN RESPONSE TEAM,8163,1/6/2016,19,0
27744,"TAYLOR, BLAKE",SERGEANT,106 PRECINCT,5628,1/8/2014,63,0
27745,"TAYLOR, BRADY R",POLICE OFFICER,HOUSING PSA 7,18595,1/10/2018,29,0
27746,"TAYLOR, CHERYL",POLICE OFFICER,NARC BORO QUEENS SOUTH,11088,7/6/2010,101,0
27747,"TAYLOR, CHILAPE S",POLICE OFFICER,TRANSIT DISTRICT 33,25709,7/11/2005,113,0
27748,"TAYLOR, CHRISTIAN R",POLICE OFFICER,HEADQUARTERS SECURITY UNIT,11912,7/1/2002,156,2
27749,"TAYLOR, CLARK A",POLICE OFFICER,078 PRECINCT,30193,7/1/2002,126,1
27750,"TAYLOR, DAVID",LIEUTENANT,023 PRECINCT,,7/11/2005,72,5
27751,"TAYLOR, DOMINIQUE J",SERGEANT,TRANSPORTATION BUREAU,5476,1/23/2007,81,1
27752,"TAYLOR, DONALD W",POLICE OFFICER,083 PRECINCT,14392,7/1/2004,161,1
27753,"TAYLOR, EVERALD A",DETECTIVE 1ST GRADE,EMER SERV SQ 04,6908,7/18/1996,48,5
27754,"TAYLOR, GEORGE",LIEUTENANT,120 PRECINCT,,1/7/2008,451,24
27755,"TAYLOR, JAMES M",POLICE OFFICER,121 PRECINCT,5311,1/9/2013,59,2
27756,"TAYLOR, JERMAINE T",SERGEANT,CO RESPONSE UNIT,1849,1/10/2005,255,9
27757,"TAYLOR, JOSEPH B",CAPTAIN,STRATEGIC RESP GRP 1 MANHATTAN,,7/7/1999,78,2
27758,"TAYLOR, KENNETH J",POLICE OFFICER,PBMS PUBLIC SAFETY TEAMS,14733,7/5/2017,52,4
27759,"TAYLOR, KEVIN L",DEPUTY INSPECTOR,SCHOOL SAFETY DIVISION,,7/18/1996,19,1
27760,"TAYLOR, LOEL A",POLICE OFFICER,007 PRECINCT,10464,7/1/2004,199,2
27761,"TAYLOR, MICHAEL R",POLICE OFFICER,107 PRECINCT,22556,11/2/2020,6,0
27762,"TAYLOR, MORGAN E",POLICE OFFICER,071 PRECINCT,9070,10/24/2018,23,1
27763,"TAYLOR, NATIA K",POLICE OFFICER,046 PRECINCT,19860,1/6/2020,6,0
27764,"TAYLOR, RICHARD S",INSPECTOR,COMMUNITY OUTREACH DIVISION,,7/11/2005,26,2
27765,"TAYLOR, ROBERT R",SERGEANT,HOUSING PSA 6,3488,7/2/2001,257,1
27766,"TAYLOR, RYAN P",POLICE OFFICER,120 PRECINCT,27296,7/7/2021,5,0
27767,"TAYLOR, SALAMIR J",DETECTIVE 3RD GRADE,JOINT TERRORIST TASK FORCE,5587,7/1/2004,321,0
27768,"TAYLOR, SHADIYAH D",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,4106,4/6/2016,16,0
27769,"TAYLOR, SIYEDAH A",POLICE OFFICER,TRANSIT DISTRICT 23,18306,1/6/2016,10,1
27770,"TAYLOR, SYLVIA",SERGEANT,PAYROLL & BENEFITS DIVISION,4319,7/1/2004,99,0
27771,"TAYLOR, TAMEEKA N",SERGEANT,INTERNAL AFFAIRS BUREAU,3809,1/10/2007,309,0
27772,"TAYLOR, ZEBULON T",LIEUTENANT,010 PRECINCT,,7/6/2010,32,1
27773,"TAZES, HELEN V",POLICE OFFICER,084 PRECINCT,11059,7/9/2014,42,3
27774,"TEAGUE, BRIAN M",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,26962,1/10/2007,37,1
27775,"TEAGUE, MATTHEW R",POLICE OFFICER,014 PCT-MIDTOWN SO. PCT,31662,7/1/2003,79,0
27776,"TEAHAN, JEROME J",DETECTIVE 1ST GRADE,JOINT TERRORIST TASK FORCE,5501,7/18/1996,504,38
27777,"TEAZIS, YORGO G",POLICE OFFICER,CRITICAL RESPONSE COMMAND,15047,1/9/2012,62,1
27778,"TECO, PEDRO M",POLICE OFFICER,HIGHWAY UNIT 5,6038,1/10/2005,167,0
27779,"TECZYNSKI, PIOTR J",POLICE OFFICER,TRANSIT DISTRICT 11,2988,1/6/2016,8,0
27780,"TEDALDI, ALLEN C",POLICE OFFICER,043 PRECINCT,20510,7/8/2015,75,0
27781,"TEDESCHI, MICHAEL T",DETECTIVE 3RD GRADE,032 DET SQUAD,4920,1/10/2007,343,13
27782,"TEEHAN, THOMAS P",POLICE OFFICER,061 PRECINCT,29371,1/10/2005,96,1
27783,"TEEJUE, MELANIE E",POLICE OFFICER,RTS RECRUITS,24564,12/29/2021,0,0
27784,"TEEL, REGINA D",POLICE OFFICER,MEDICAL DIVISION,19199,10/11/2016,24,0
27785,"TEEMSMA, RICHARD M",POLICE OFFICER,DEP COMM COMMUNITY PARTNERSHIPS,14084,7/9/2014,109,8
27786,"TEGAN, ALEX V",POLICE OFFICER,BRONX TRANSIT ROBBERY SQUAD,9383,4/12/2017,106,1
27787,"TEITLER, MARK B",SGT DET SQUAD,JOINT TERRORIST TASK FORCE,928,6/30/1995,41,5
27788,"TEITZMAN, BRYAN M",POLICE OFFICER,TRANSIT DISTRICT 30,17656,7/13/2016,19,0
27789,"TEIXEIRA, JACLYN",POLICE OFFICER,HOUSING PSA 9,7421,1/10/2005,71,1
27790,"TEJADA, ARLENE",POLICE OFFICER,033 PRECINCT,26288,1/3/2019,19,2
27791,"TEJADA, BERNARDO A",POLICE OFFICER,RTS RECRUITS,27057,12/29/2021,0,0
27792,"TEJADA, CARLOS Y",SERGEANT,CRITICAL RESPONSE COMMAND,3704,7/6/2010,71,0
27793,"TEJADA, CARMEN J",DETECTIVE SPECIALIST,044 PRECINCT,1248,7/1/2002,38,0
27794,"TEJADA, CHRISTOPHER",POLICE OFFICER,103 PRECINCT,8262,12/29/2020,8,0
27795,"TEJADA, DARLING",POLICE OFFICER,041 PRECINCT,2937,7/9/2014,34,1
27796,"TEJADA, DENNES",SERGEANT,BROOKLYN COURT SECTION,3641,1/10/2005,55,4
27797,"TEJADA, EMMANUEL",POLICE OFFICER,040 PRECINCT,9024,1/6/2016,51,0
27798,"TEJADA, FELIX R",POLICE OFFICER,047 PRECINCT,7675,10/18/2017,38,0
27799,"TEJADA, FRANCISCO A",DETECTIVE 3RD GRADE,CRIMINAL INTELLIGENCE SECTION,3365,7/11/2005,367,7
27800,"TEJADA, FRANCISCO A",POLICE OFFICER,CENTRAL PARK PRECINCT,2216,1/10/2007,107,1
27801,"TEJADA, HECTOR J",POLICE OFFICER,112 PRECINCT,31795,7/11/2012,90,3
27802,"TEJADA, IVAN A",POLICE OFFICER,TRANSIT DISTRICT 11,31346,7/11/2012,330,6
27803,"TEJADA, JASON",POLICE OFFICER,TRANSIT DISTRICT 33,6997,7/10/2006,118,0
27804,"TEJADA, JAYSEN J",LIEUTENANT,CENTRAL PARK PRECINCT,,1/7/2008,56,0
27805,"TEJADA, JOSE A",POLICE OFFICER,040 PRECINCT,13574,1/6/2016,29,2
27806,"TEJADA, JOSE M",POLICE OFFICER,HOUSING PSA 7,6150,10/7/2015,136,4
27807,"TEJADA, JULIO E",DETECTIVE 3RD GRADE,QUEENS ROBBERY SQUAD,2074,7/11/2005,326,1
27808,"TEJADA, KATHERINE",POLICE OFFICER,071 PRECINCT,6752,7/11/2012,213,4
27809,"TEJADA, KATHERINE V",DETECTIVE SPECIALIST,047 PRECINCT,5638,1/4/2017,53,0
27810,"TEJADA, LUIS S",POLICE OFFICER,033 PRECINCT,557,7/2/2018,46,5
27811,"TEJADA, MANNY",POLICE OFFICER,YOUTH STRATEGIES DIVISION,23659,1/3/2019,38,0
27812,"TEJADA, MARIANELA",SGT DET SQUAD,JOINT TERRORIST TASK FORCE,1492,12/8/1997,348,0
27813,"TEJADA, OMAR J",POLICE OFFICER,STRATEGIC RESP GRP 2 BRONX,11809,1/8/2014,114,0
27814,"TEJADA, PEDRO J",DETECTIVE 3RD GRADE,BRONX ROBBERY SQUAD,3640,1/9/2006,611,4
27815,"TEJADA, TEODORO",POLICE OFFICER,005 PRECINCT,25055,1/6/2020,8,0
27816,"TEJADA, VANESSA",SERGEANT,CEIS MAJOR INVESTIGATION SQUAD,2025,7/1/2004,22,1
27817,"TEJEDA, ISMAEL",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,12424,10/11/2016,41,0
27818,"TEJEDA, JIMMY A",POLICE OFFICER,001 PRECINCT,2183,10/12/2021,0,0
27819,"TEJEDA, RAMON J",CAPTAIN,MILITARY & EXTENDED LEAVE DESK,,7/11/2005,33,2
27820,"TEJEDA, STEVEN",POLICE OFFICER,067 PRECINCT,11253,7/2/2018,39,0
27821,"TEJERA, JUAN M",DETECTIVE 3RD GRADE,MTS DET SQUAD,5509,12/7/1997,825,5
27822,"TEJERA, VLADIMIR L",LIEUTENANT,032 PRECINCT,,7/21/2008,250,9
27823,"TEJERADELACRUZ, ALAN",POLICE OFFICER,HOUSING PSA 7,18811,7/1/2019,9,0
27824,"TEKAAHO, REIHITA R",DETECTIVE SPECIALIST,OPERATIONS RESEARCH SECTION,3528,7/10/2006,38,0
27825,"TEKIN, FURKAN",POLICE OFFICER,ATU LATE TOUR PATROL TD 1,14473,7/9/2014,94,1
27826,"TELESCO, TONY P",SGT SPECIAL ASSIGN,DEP COMM MANAGEMENT & BUDGET,4566,4/15/1997,36,2
27827,"TELESE, ROBERTO",DETECTIVE 3RD GRADE,TECH. ASSIST. & RESPONSE UNIT,655,7/1/2004,197,2
27828,"TELFER, MICHAEL A",INSPECTOR,CITYWIDE COUNTERTERRORISM UNIT,,8/30/1993,88,1
27829,"TELFORD, CHARLTON J",LT SPECIAL ASSIGN,HOUSING PSA 1,,8/31/1998,45,1
27830,"TELFORD, LEROY A",POLICE OFFICER,ATU LATE TOUR PATROL TD 2,7719,10/11/2016,14,0
27831,"TELLES, ROBERT L",POLICE OFFICER,SCUBA UNIT,24834,10/11/2016,32,2
27832,"TELLEZ, JUAN C",POLICE OFFICER,TRANSIT DISTRICT 1,541,7/6/2010,74,1
27833,"TELLO, KEVIN A",POLICE OFFICER,109 PRECINCT,1077,7/13/2016,105,15
27834,"TEMAL, CHANDRAPAUL",POLICE OFFICER,077 PRECINCT,9572,1/10/2018,34,3
27835,"TEMME, SAMUEL",POLICE OFFICER,SCUBA UNIT,9603,1/11/2010,150,0
27836,"TEMPLE, ORVILLE O",SERGEANT,044 PRECINCT,5461,7/6/2011,91,1
27837,"TEMPLE, VALENCIA L",POLICE OFFICER,OPERATIONS UNIT,10942,7/6/2011,36,0
27838,"TENENBAUM, SHMUEL",POLICE OFFICER,078 PRECINCT,4518,7/8/2008,50,1
27839,"TENER, BRENDAN W",POLICE OFFICER,073 PRECINCT,12665,12/29/2020,10,0
27840,"TENEZACAPERALTA, MICHAEL A",POLICE OFFICER,050 PRECINCT,28396,1/6/2020,12,0
27841,"TENG, MANNIX M",POLICE OFFICER,052 PRECINCT,28619,7/11/2005,98,1
27842,"TENGCO, RUBEN E",POLICE OFFICER,STRATEGIC RESP GRP 2 BRONX,2476,7/1/2002,470,6
27843,"TENNANT, TRAVIS R",POLICE OFFICER,COD INVESTIGATION REVIEW SECTION,19692,1/9/2012,127,1
27844,"TENNARIELLO, JOSEPH P",DETECTIVE SPECIALIST,EMER SERV SQ 07,3451,1/9/2012,141,6
27845,"TENNESEN, KYLE",POLICE OFFICER,069 PRECINCT,31048,1/6/2016,36,0
27846,"TENNY, BRENDAN M",POLICE OFFICER,113 PRECINCT,17525,1/6/2016,94,1
27847,"TENNY, BRYAN T",POLICE OFFICER,109 PRECINCT,19971,7/1/2019,51,3
27848,"TENORIO, ANA D",POLICE OFFICER,071 PRECINCT,25418,1/17/2008,65,0
27849,"TENORIO, WILLIAM M",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,10955,7/6/2011,26,0
27850,"TENTEROMANO, MICHAEL E",POLICE OFFICER,MANAGEMENT ANALYSIS SECTION,21649,10/7/2015,18,0
27851,"TENZING, DHONDUP Y",POLICE OFFICER,HB MANHATTAN RESPONSE TEAM,13925,7/13/2016,9,0
27852,"TEPEDINO, JOHN R",POLICE OFFICER,120 PRECINCT,20966,1/4/2017,15,1
27853,"TEPPERMAN, JARED J",DETECTIVE 1ST GRADE,CRIMINAL ENTERPRISE INVEST SEC,1809,1/10/2005,715,7
27854,"TERAN, DAVID A",POLICE OFFICER,075 PRECINCT,26424,7/9/2013,95,6
27855,"TERELLE, JAMES D",POLICE OFFICER,048 PRECINCT,18866,4/28/2021,12,0
27856,"TEREPKA, RADOSLAW R",DETECTIVE 3RD GRADE,075 DET SQUAD,5393,3/1/2000,518,23
27857,"TERGESEN, WILLIAM P",LT DET COMMANDER,025 DET SQUAD,,1/7/2008,142,14
27858,"TERHUNE, JASON M",POLICE OFFICER,023 PRECINCT,16135,7/5/2017,42,1
27859,"TERLINSKY, JESSE A",SERGEANT,INTEL CIS FIO PROGRAM,3063,1/10/2005,44,24
27860,"TERLONGE, PATRICK C",POLICE OFFICER,063 PRECINCT,30090,7/11/2005,454,13
27861,"TERNAS, ATHANASI N",POLICE OFFICER,SPECIALIZED TRAINING SECTION,20201,1/10/2007,68,0
27862,"TERNES, ANDREW R",POLICE OFFICER,DEP COMM DEPARTMENT ADVOCATE,8574,1/11/2010,326,8
27863,"TERPOS, PHILIP J",LIEUTENANT,CHIEF CRIME CONTROL STRATEGIES,,7/1/2002,82,3
27864,"TERRANO, VINCENT P",LT DET COMMANDER,DETECTIVE BUREAU,,7/1/2004,175,1
27865,"TERRANOVA, CHRISTOPHER M",POLICE OFFICER,121 PRECINCT,3506,7/6/2011,101,1
27866,"TERRANOVA, PETER A",POLICE OFFICER,060 PRECINCT,19588,4/28/2021,4,0
27867,"TERRASI, JOSEPH",POLICE OFFICER,042 PRECINCT,24809,7/1/2002,93,0
27868,"TERRELL, DAVID R",DETECTIVE 2ND GRADE,MAN COURT SECTION,4523,7/1/2002,895,6
27869,"TERRELL, SHANTE L",DETECTIVE 1ST GRADE,JOINT TERRORIST TASK FORCE,4424,7/2/2001,838,5
27870,"TERRELL, TAHAN A",POLICE OFFICER,069 PRECINCT,4722,10/12/2021,0,0
27871,"TERRERO, JASON C",POLICE OFFICER,HEADQUARTERS SECURITY UNIT,26602,7/1/2002,66,0
27872,"TERRERO, JUAN C",CAPTAIN,115 PCT ROOSEVELT AVE TF,,7/11/2005,41,0
27873,"TERRERO, NIKAURI N",POLICE OFFICER,042 PRECINCT,2439,1/6/2016,53,2
27874,"TERRETT, NICHOLAS J",POLICE OFFICER,HIGHWAY UNIT NO 1,20643,7/5/2017,15,1
27875,"TERRILLION, TIMOTHY G",DETECTIVE 3RD GRADE,NARC BORO QUEENS SOUTH,5858,1/9/2012,187,15
27876,"TERRIZZI, STEVEN M",POLICE OFFICER,017 PRECINCT,30814,10/7/2019,12,0
27877,"TERRUSA, JOHN F",POLICE OFFICER,076 PRECINCT,17256,1/9/2012,45,1
27878,"TES, TUAN M",POLICE OFFICER,073 PRECINCT,10905,4/12/2017,5,1
27879,"TESORIERO, ANDREW J",POLICE OFFICER,102 PRECINCT,1752,12/29/2020,9,0
27880,"TESORIERO, JOHN M",POLICE OFFICER,078 PRECINCT,16942,7/1/2004,59,1
27881,"TESSITORE, ANGELO J",DETECTIVE 2ND GRADE,CRD SPARTA GROUP,4284,4/23/1997,297,27
27882,"TESTACCIO, JONVINCENT",POLICE OFFICER,120 PRECINCT,17571,7/11/2012,54,0
27883,"TESTANI, ANDREW G",POLICE OFFICER,020 PRECINCT,22305,10/7/2019,15,0
27884,"TESTANI, NICHOLAS A",POLICE OFFICER,COMMUNICATIONS DIV,5789,7/9/2014,46,0
27885,"TETA, DAVID J",DETECTIVE 3RD GRADE,"GUN VIOL SUPP DIV Z1 (BK,Q,SI)",2666,7/1/2004,127,12
27886,"TETERYCZ, ANDRE A",SGT SPECIAL ASSIGN,123 PRECINCT,3188,2/28/1994,100,20
27887,"TETI, GREGORY E",POLICE OFFICER,104 PRECINCT,24887,1/7/2015,95,2
27888,"TETI, WILLIAM A",POLICE OFFICER,TRANSIT DISTRICT 12,9662,7/6/2011,121,1
27889,"TETIK, UMMUGULSUMHALIME",POLICE OFFICER,RTS RECRUITS,28745,12/29/2021,0,0
27890,"TEVERE, SALVATORE",SERGEANT,047 PRECINCT,5287,7/8/2008,411,12
27891,"TEXEIRA, DANIEL J",POLICE OFFICER,009 PRECINCT,5786,1/10/2018,68,0
27892,"TEXIDOR, DEANNA L",DETECTIVE 2ND GRADE,MEDICAL DIVISION,5833,7/1/2004,41,0
27893,"THAKUR, MD L",POLICE OFFICER,HOUSING PSA 2,3194,10/24/2018,19,0
27894,"THALL, PETER T",SERGEANT,BS CRIME ANALYSIS UNIT,787,7/10/2006,110,0
27895,"THANGAVELU, JONATHAN P",POLICE OFFICER,075 PRECINCT,1705,10/12/2021,0,0
27896,"THAPA, BIBEK",POLICE OFFICER,075 PRECINCT,28719,7/9/2013,234,7
27897,"THARCHIN, TENZING",POLICE OFFICER,071 PRECINCT,5624,4/28/2021,7,0
27898,"THATCHER, RUSSELL",DETECTIVE SPECIALIST,EMERGENCY SERVICE UNIT,688,6/30/1992,112,6
27899,"THATCHER, RYAN D",POLICE OFFICER,RTS RECRUITS,3463,12/29/2021,0,0
27900,"THATCHER, TIMOTHY P",POLICE OFFICER,060 PRECINCT,19981,7/1/2019,36,0
27901,"THEANTHONG, TAWEE",CAPTAIN,CENTRAL ROBBERY DIVISION,,7/1/2003,84,8
27902,"THEISS, DEREK J",POLICE OFFICER,101ST DET SQUAD,9851,7/9/2014,173,2
27903,"THEISS, ERIC M",DETECTIVE SPECIALIST,SENSITIVE DATA UNIT,7383,7/8/2008,121,0
27904,"THEISS, RYAN M",DETECTIVE 3RD GRADE,CRIMINAL ENTERPRISE INVEST SEC,5857,7/6/2011,208,0
27905,"THEISS, TYLER P",POLICE OFFICER,INTEL CIS FIO PROGRAM,30259,4/12/2017,59,3
27906,"THELUSMOND, ASHLEY",POLICE OFFICER,HOUSING PSA 3,27661,10/7/2019,1,0
27907,"THEN, JONATHAN",POLICE OFFICER,046 PRECINCT,4012,1/6/2016,53,0
27908,"THEN, JULIANNY",POLICE OFFICER,044 PRECINCT,28190,1/9/2013,53,1
27909,"THEN, KELBY",DETECTIVE 1ST GRADE,SUPPORT SERVICES BUREAU,7772,7/2/2001,97,0
27910,"THEN, STEPHANIL",POLICE OFFICER,044 PRECINCT,21778,1/4/2017,12,0
27911,"THEN, THOMAS L",SERGEANT,069 PRECINCT,2585,1/9/2012,105,1
27912,"THENSANTANA, RAYDERD A",POLICE OFFICER,HOUSING PSA 7,3164,10/12/2021,0,0
27913,"THEOBALD, ADRIAN A",POLICE OFFICER,075 PRECINCT,31670,7/9/2013,105,2
27914,"THEOFIELD, CHRISTOPHER M",DETECTIVE SPECIALIST,ESU CANINE TEAM,6529,7/2/2001,194,2
27915,"THEOPHILE, STEVEN",POLICE OFFICER,TRANSIT DISTRICT 30,20214,7/8/2015,46,2
27916,"THEOS, JOHN A",POLICE OFFICER,047 PRECINCT,9411,7/9/2007,780,8
27917,"THERIAULT, EDWARD D",POLICE OFFICER,101 PRECINCT,1773,1/10/2005,126,2
27918,"THEVENOT, LESLY P",POLICE OFFICER,123 PRECINCT,6154,7/11/2005,110,0
27919,"THIELEKE, CLIFF G",SGT SPECIAL ASSIGN,PATROL BORO MAN NORTH,1762,1/9/1986,208,27
27920,"THIEMER, GREGORY A",POLICE OFFICER,TRANSIT DISTRICT 32,21650,10/7/2015,36,0
27921,"THIMM, MICHAEL",DETECTIVE 3RD GRADE,CRIMINAL INTELLIGENCE SECTION,7274,3/1/2000,24,1
27922,"THIMOTE, ANDERSON",DETECTIVE 3RD GRADE,071 DET SQUAD,2440,1/7/2015,166,16
27923,"THIMOTHE, RUBENS",SERGEANT,PROPERTY CLERK DIV,4432,7/11/2005,134,8
27924,"THIRUVERKADU, NAVEENKUM R",POLICE OFFICER,TRANSIT DISTRICT 34,23700,1/9/2013,73,1
27925,"THOMAS, ALAN D",POLICE OFFICER,MAN COURT SECTION,16293,1/7/2015,44,0
27926,"THOMAS, ALEJANDRO",POLICE OFFICER,PBMN SCOOTER TASK FORCE,10965,1/10/2005,92,0
27927,"THOMAS, ALEXA V",POLICE OFFICER,107 PRECINCT,28312,11/2/2020,9,0
27928,"THOMAS, ALTHEA A",POLICE OFFICER,TRANSIT DISTRICT 20,8704,1/9/2006,25,0
27929,"THOMAS, AMANDA M",POLICE OFFICER,075 PRECINCT,19568,7/8/2015,43,1
27930,"THOMAS, ANOOP",POLICE OFFICER,060 PRECINCT,15808,4/15/2019,22,0
27931,"THOMAS, CARLOS",DETECTIVE 3RD GRADE,032 DET SQUAD,6541,1/9/2012,322,9
